name,url,clip_stop_at_last_layers,width_value,height_value
waifu-v15,https://huggingface.co/waifu-diffusion/wd-1-5-beta/blob/main/checkpoints/wd15-beta1-fp16.safetensors,2,768,768
waifu-v14,https://huggingface.co/hakurei/waifu-diffusion-v1-4/blob/main/wd-1-4-anime_e2.ckpt,2,768,768
Rumination,https://huggingface.co/JosephusCheung/RuminationDiffusion/blob/main/Rumination-half.ckpt,2,768,768
MF-Base,https://huggingface.co/MyneFactory/MF-Base/blob/main/Full%20release%20models/MyneFactoryBase%20V1.0.safetensors,1,768,768
Illuminati,https://huggingface.co/IlluminatiAI/Illuminati_Diffusion_v1.0/blob/main/illuminati_diffusion_v1.0.safetensors,2,768,768
th,https://huggingface.co/furusu/th-diffusion/blob/main/th-diffusion.safetensors,2,768,768
stable-v21-768,https://huggingface.co/webui/stable-diffusion-2-1/blob/main/v2-1_768-ema-pruned-fp16.safetensors,2,768,768
stable-v20-512-inpainting,https://huggingface.co/webui/stable-diffusion-2-inpainting/blob/main/512-inpainting-ema.safetensors,2,512,512
stable-v21-512,https://huggingface.co/stabilityai/stable-diffusion-2-1-base/blob/main/v2-1_512-ema-pruned.ckpt,2,512,512
stable-v20-512-depth,https://huggingface.co/webui/stable-diffusion-2-depth/blob/main/512-depth-ema-fp16.safetensors,2,512,512
cool-japan,https://huggingface.co/aipicasso/cool-japan-diffusion-2-1-2-beta/blob/main/v2-1-2-beta.safetensors,2,768,768
plat,https://huggingface.co/p1atdev/pd-archive/blob/main/plat-v1-3-1.safetensors,2,768,768
tohoku-v2,https://huggingface.co/shirayu/sd-tohoku-v2/blob/main/ckpt/sd-tohoku-v2.ckpt,2,768,768
DeDeDe,https://huggingface.co/nakayama/DeDeDe/blob/main/DeDeDe.safetensors,2,512,512
DeDeDeP,https://huggingface.co/nakayama/DeDeDeP/blob/main/DeDeDeP.safetensors,2,512,512
mitsua-v10,https://huggingface.co/Mitsua/mitsua-diffusion-cc0/blob/main/mitsua-diffusion-cc0-v1-0.ckpt,2,512,512
openjourney-v2,https://huggingface.co/prompthero/openjourney-v2/blob/main/openjourney-v2.ckpt,2,512,512
anything-v45,https://huggingface.co/ckpt/anything-v4.5-vae-swapped/blob/main/anything-v4.5-vae-swapped.safetensors,2,768,768
waifu-v140-booru-14000,https://huggingface.co/waifu-diffusion/unofficial-releases/blob/main/wd14-booru-step-14000-unofficial.safetensors,2,512,512
robo-v2,https://huggingface.co/ckpt/robo-diffusion-2-base/blob/main/robo-diffusion-2-base.ckpt,2,512,512
ACertainThing,https://huggingface.co/JosephusCheung/ACertainThing/blob/main/ACertainThing-half.ckpt,2,768,768
ACertainModel,https://huggingface.co/JosephusCheung/ACertainModel/blob/main/ACertainModel-half.ckpt,2,768,768
ACertainty,https://huggingface.co/JosephusCheung/ACertainty/blob/main/ACertainty.ckpt,2,768,768
AltDiffusion-m9,https://huggingface.co/webui/AltDiffusion-m9/blob/main/Alt-Diffusion-M9-fp16.safetensors,1,512,512
miniSD,https://huggingface.co/webui/miniSD/blob/main/miniSD.safetensors,1,512,512
stable-v15,https://huggingface.co/runwayml/stable-diffusion-v1-5/blob/main/v1-5-pruned-emaonly.ckpt,1,512,512
stable-v15-inpainting,https://huggingface.co/webui/stable-diffusion-inpainting/blob/main/sd-v1-5-inpainting.safetensors,1,512,512
8528-final,https://huggingface.co/852wa/8528-diffusion/blob/main/8528d-final.ckpt,2,512,512
waifu-v135-80000,https://huggingface.co/hakurei/waifu-diffusion-v1-4/blob/main/models/wd-1-3-5_80000-fp32.ckpt,1,512,512
waifu-v130-float16,https://huggingface.co/hakurei/waifu-diffusion-v1-3/blob/main/wd-v1-3-float16.ckpt,1,512,512
sd-wikiart-v2,https://huggingface.co/ckpt/sd-wikiart-v2/blob/main/sd-wikiart-v2.ckpt,1,512,512
artstation-v1,https://huggingface.co/ckpt/artstation-diffusion/blob/main/artstation-diffusion.ckpt,1,512,512
cafe-instagram-unofficial,https://huggingface.co/NoCrypt/cafe-instagram-unofficial/blob/main/cafe-instagram-unofficial-test-epoch-9-140k-images-fp32.ckpt,1,512,512
trinart-derrida_final,https://huggingface.co/naclbit/trinart_derrida_characters_v2_stable_diffusion/blob/main/derrida_final.ckpt,1,512,512
robo-v1,https://huggingface.co/nousr/robo-diffusion/blob/main/models/robo-diffusion-v1.ckpt,1,512,512
Counterfeit-V25,https://huggingface.co/gsdf/Counterfeit-V2.5/blob/main/Counterfeit-V2.5_fp16.safetensors,2,512,512
